HR,respr,Time(sec),Label
70.1,10.477705050505053,1644228204.0,1
70.08,10.477705050505053,1644228205.0,1
70.07,10.477705050505053,1644228206.0,1
70.05,10.474860606060606,1644228207.0,1
70.03,10.474860606060606,1644228208.0,1
70.03,10.474860606060606,1644228209.0,1
70.08,10.474860606060606,1644228210.0,1
70.17,10.410860606060606,1644228211.0,1
70.23,10.374289177489176,1644228212.0,1
70.5,10.331622510822507,1644228213.0,1
70.72,10.267622510822507,1644228214.0,1
70.88,10.242022510822512,1644228215.0,1
71.05,10.206466955266954,1644228216.0,1
71.22,10.142466955266954,1644228217.0,1
71.37,10.142466955266954,1644228218.0,1
71.5,10.142466955266954,1644228219.0,1
71.58,10.142466955266954,1644228220.0,1
71.73,10.142466955266954,1644228221.0,1
71.83,10.142466955266954,1644228222.0,1
72.0,10.206466955266954,1644228223.0,1
72.15,10.206466955266954,1644228224.0,1
72.32,10.204139682539685,1644228225.0,1
72.52,10.204139682539685,1644228226.0,1
73.1,10.236139682539685,1644228227.0,1
73.67,10.268139682539683,1644228228.0,1
74.23,10.268139682539683,1644228229.0,1
74.8,10.268139682539683,1644228230.0,1
75.33,10.296584126984127,1644228231.0,1
75.83,10.232584126984127,1644228232.0,1
76.33,10.181384126984128,1644228233.0,1
76.83,10.130184126984128,1644228234.0,1
77.33,10.066184126984128,1644228235.0,1
77.87,10.02351746031746,1644228236.0,1
78.32,9.97231746031746,1644228237.0,1
78.8,9.935746031746032,1644228238.0,1
79.22,9.899174603174602,1644228239.0,1
79.63,9.950374603174604,1644228240.0,1
80.08,10.014374603174604,1644228241.0,1
80.48,9.963174603174604,1644228242.0,1
80.85,9.963174603174604,1644228243.0,1
81.2,9.963174603174604,1644228244.0,1
